subjectID,smoothness,order,av_distance,av_distance_prev,reclicks,HVclicks,Novclicks,performance,performance_av,sequence,bonus,context,PCA,PEC
hVuEOqnz,rough,RS,0.845833333,104.583.333.333.333,333,333,143,6.662.096.774.125,667.802.419.353.125,1,264.772.465.437.054,rough,288.669.642.308.637,-288.669.642.308.637
3QUfzrj9,smooth,RS,1.075,142.708.333.333.333,291,291,189,71.282.258.065,6.595.766.129,2,261.247.119.814.286,smooth,222.602.334.071.481,-222.602.334.071.481
3QUfzrj9,rough,RS,1.275,149.791.666.666.667,311,311,169,60.633.064.515,6.595.766.129,1,261.247.119.814.286,rough,227.891.807.610.217,-227.891.807.610.217
Escq2lHO,smooth,RS,131.458.333.333.333,142.916.666.666.667,328,328,142,6.179.838.709.625,587.812.500.003.125,2,230.491.071.429.911,smooth,248.492.530.600.762,-248.492.530.600.762
Escq2lHO,rough,RS,237.708.333.333.333,224.583.333.333.333,275,275,171,55.764.112.904.375,587.812.500.003.125,1,230.491.071.429.911,rough,129.563.647.627.721,-129.563.647.627.721
FmRcObSV,smooth,SR,0.747916667,103.333.333.333.333,283,283,197,693.286.290.325,636.643.145.165.625,1,251.418.490.785.268,smooth,249.438.763.270.277,-249.438.763.270.277
FmRcObSV,rough,SR,140.625,11.375,324,324,156,58.000.000.000.625,636.643.145.165.625,2,251.418.490.785.268,rough,252.821.782.073.392,-252.821.782.073.392
PZiowX2w,smooth,RS,1.55,214.166.666.666.667,90,90,389,62.326.612.904.375,570.312.500.009.375,2,222.991.071.432.589,smooth,-0.021499832,0.021499832
PZiowX2w,rough,RS,3.65,234.791.666.666.667,79,79,397,517.358.870.975,570.312.500.009.375,1,222.991.071.432.589,rough,-102.539.644.978.976,102.539.644.978.976
yYC53qQ1,smooth,RS,148.125,1.575,285,285,190,6.813.508.064.375,6.284.475.806.375,2,2.479.061.059.875,smooth,196.064.983.823.713,-196.064.983.823.713
yYC53qQ1,rough,RS,225.833.333.333.333,221.041.666.666.667,206,206,263,5.755.443.548.375,6.284.475.806.375,1,2.479.061.059.875,rough,0.683928238,-0.683928238
p3IFqVNU,smooth,SR,208.333.333.333.333,165.208.333.333.333,16,16,451,57.076.612.901.875,497.469.758.059.375,1,191.772.753.454.018,smooth,-0.540180141,0.540180141
p3IFqVNU,rough,SR,379.375,199.375,2,2,464,4.241.733.871,497.469.758.059.375,2,191.772.753.454.018,rough,-149.830.709.673.336,149.830.709.673.336
VXnyDUcS,smooth,SR,0.941666667,143.541.666.666.667,246,246,228,66.249.999.999.375,624.657.258.059.375,1,246.281.682.025.446,smooth,192.052.704.851.391,-192.052.704.851.391
VXnyDUcS,rough,SR,0.65,0.945833333,325,325,151,586.814.516.125,624.657.258.059.375,2,246.281.682.025.446,rough,294.846.207.576.896,-294.846.207.576.896
YSKaaqQ7,smooth,RS,275.208.333.333.333,234.791.666.666.667,9,9,460,61.447.580.644.375,5.600.907.258,2,218.610.311.057.143,smooth,-123.564.744.275.341,123.564.744.275.341
YSKaaqQ7,rough,RS,354.375,310.416.666.666.667,19,19,450,50.570.564.515.625,5.600.907.258,1,218.610.311.057.143,rough,-185.957.555.004.674,185.957.555.004.674
EC8usHfI,smooth,SR,0.564583333,0.758333333,355,355,125,653.709.677.425,620.372.983.875,1,244.445.564.517.857,smooth,331.617.908.709.036,-331.617.908.709.036
EC8usHfI,rough,SR,0.541666667,0.735416667,339,339,113,587.036.290.325,620.372.983.875,2,244.445.564.517.857,rough,332.067.701.822.692,-332.067.701.822.692
zBfs3dS0,smooth,RS,207.916.666.666.667,175.833.333.333.333,3,3,475,51.701.612.901.875,487.298.387.084.375,2,187.413.594.464.732,smooth,-0.750405907,0.750405907
zBfs3dS0,rough,RS,358.333.333.333.333,2.05,4,4,469,45.758.064.515,487.298.387.084.375,1,187.413.594.464.732,rough,-145.914.326.692.908,145.914.326.692.908
ShVrhSbF,smooth,SR,164.166.666.666.667,223.541.666.666.667,170,170,309,65.536.290.323.125,627.691.532.259.375,1,247.582.085.254.018,smooth,0.565384612,-0.565384612
ShVrhSbF,rough,SR,183.333.333.333.333,2.125,225,225,249,6.000.201.612.875,627.691.532.259.375,2,247.582.085.254.018,rough,103.267.666.578.774,-103.267.666.578.774
46fgW7fZ,smooth,SR,205.416.666.666.667,235.208.333.333.333,31,31,436,6.258.064.516,551.229.838.703.125,1,214.812.788.015.625,smooth,-0.773804187,0.773804187
46fgW7fZ,rough,SR,32.375,263.125,11,11,440,47.665.322.580.625,551.229.838.703.125,2,214.812.788.015.625,rough,-148.155.480.682.547,148.155.480.682.547
YOq1kBVt,smooth,RS,219.583.333.333.333,193.541.666.666.667,28,28,424,46.167.338.709.375,44.743.951.613.125,2,170.331.221.199.107,smooth,-0.570008774,0.570008774
YOq1kBVt,rough,RS,286.875,202.916.666.666.667,18,18,429,43.320.564.516.875,44.743.951.613.125,1,170.331.221.199.107,rough,-0.943750792,0.943750792
xVIyPW0K,smooth,SR,226.041.666.666.667,215.833.333.333.333,88,88,384,5.952.217.741.875,5.806.451.612.875,1,2.274.193.548.375,smooth,-0.293307514,0.293307514
xVIyPW0K,rough,SR,222.083.333.333.333,198.958.333.333.333,172,172,299,5.660.685.483.875,5.806.451.612.875,2,2.274.193.548.375,rough,0.521431602,-0.521431602
qDTEkUsn,smooth,SR,259.791.666.666.667,21.625,22,22,431,55.866.935.484.375,51.25,1,198.214.285.714.286,smooth,-0.900981872,0.900981872
qDTEkUsn,rough,SR,400.208.333.333.333,267.291.666.666.667,6,6,454,46.633.064.515.625,51.25,2,198.214.285.714.286,rough,-188.019.791.501.371,188.019.791.501.371
6MFXfbuX,smooth,RS,209.583.333.333.333,184.583.333.333.333,29,29,434,59.816.532.259.375,523.195.564.525,2,202.798.099.082.143,smooth,-0.521645245,0.521645245
6MFXfbuX,rough,RS,335.625,21.375,23,23,427,44.822.580.645.625,523.195.564.525,1,202.798.099.082.143,rough,-116.093.621.531.812,116.093.621.531.812
9kWkXZLF,smooth,SR,210.416.666.666.667,178.958.333.333.333,10,10,459,5.325.201.612.875,506.905.241.934.375,1,195.816.532.257.589,smooth,-0.679962531,0.679962531
9kWkXZLF,rough,SR,311.875,187.708.333.333.333,25,25,437,48.129.032.258.125,506.905.241.934.375,2,195.816.532.257.589,rough,-0.964497508,0.964497508
ev8w6EgH,smooth,RS,230.833.333.333.333,212.083.333.333.333,9,9,460,52.356.854.839.375,4.941.935.483.875,2,190.368.663.594.643,smooth,-0.943127922,0.943127922
ev8w6EgH,rough,RS,37.125,234.791.666.666.667,1,1,457,46.481.854.838.125,4.941.935.483.875,1,190.368.663.594.643,rough,-162.919.226.656.523,162.919.226.656.523
7lOMNkri,smooth,RS,2.625,283.958.333.333.333,188,188,289,66.526.209.676.875,62.162.298.386.875,2,244.981.278.800.893,smooth,0.023320048,-0.023320048
7lOMNkri,rough,RS,2.65,249.166.666.666.667,226,226,253,57.798.387.096.875,62.162.298.386.875,1,244.981.278.800.893,rough,0.508842118,-0.508842118
